Nombre;Estilo;Cervecería;Nombre completo;Descripción;ABV;Min IBU;Max IBU;Astringencia;Cuerpo (Body);Alcohol;Amargo (Bitter);Dulce (Sweet);Agrio (Sour);Salado (Salty);Frutas (Fruits);Lupulado (Hoppy);Especias (Spices);Malta (Malty)
Honker's Ale;Bitter - English;Goose Island Beer Co.;Goose Island Beer Co. Honker's Ale;Notes:Golden sunset color, fruity hop aroma, biscuity malt flavor, soft body.\t;4.3;200.0;35.0;14;35;3.0;53;66;28;1;32;58.0;1;79.0
Fuller's London Pride;Bitter - English;Fuller Smith & Turner PLC;Fuller Smith & Turner PLC Fuller's London Pride;Notes:Not just the iconic ale of the capital, London Pride is an all-British affair that unites a nation of beer drinkers. It’s brewed with entirely home-grown hop varieties - Target for bittering and Northdown, Challenger and Goldings for aroma - but the soul of the beer is unquestionably in the malt. Crystal malts combine with spring-harvested Pale Ale varieties Concerto and Propino, to give Pride its inimitable depth and balance.This tawny-coloured premium ale borrows sweet raisin, biscuit and dried-fruit notes from the Crystal malt, while fresh, piney herbs emanate from the hops. Rich, smooth and elegant on the palate, it draws to a clean, satisfying finish with beautifully balanced bitterness.4.1% ABV on cask, 4.7% ABV for bottles, cans and kegs.\t;4.7;20.0;35.0;21;49;9.0;58;67;32;0;33;101.0;6;108.0
Bluebird Bitter;Bitter - English;Coniston Brewing Co. Ltd;Coniston Brewing Co. Ltd Bluebird Bitter;Notes:Bluebird is a fine session ale with a light golden colour. The intense resinous and spicy hop character which is the beer's hallmark is derived from the use of unusual quantities of English Challenger hops, each bale being individually and personally selected by the brewer. The malt is, of course, Maris Otter fermented slightly warm to give a soft fruitiness with a faint hint of scented geranium.\t;;;35.0;29;43;15.0;62;52;47;2;38;101.0;23;81.0
Spitfire Premium Kentish Ale;Bitter - English;Shepherd Neame Ltd;Shepherd Neame Ltd Spitfire (Premium Ale Export);Notes:This 4.2% Kentish ale (bottle 4.5%) was first brewed in 1990 to celebrate the Battle of Britain which was fought in the skies above Kent 50 years earlier. The beer is named after the legendary Spitfire aeroplane designed by RJ Mitchell. The versatility of the aircraft and the courage of its pilots were essential to victory and were a key symbol of the spirit of that time.\t;4.5;20.0;35.0;16;22;;51;29;16;1;15;76.0;6;61.0
Younger's Special Bitter;Bitter - English;Rogue Ales;Rogue Ales Younger's Special Bitter;Notes:;4.8;20.0;;20;69;14.0;74;44;24;0;20;84.0;13;89.0
The Naughty Nurse;Bitter - English;City Steam Brewery Café;City Steam Brewery Café City Steam Naughty Nurse Pale Ale;"Notes:The Naughty Nurse has become quite the popular lady in the Nutmeg State. With her classy and sensual elegance, combined with just the right amount of...ahem...bite, she has made many a friend both inside and outside of our brewpub. Don't let that ""come hither"" look fool you, though - she is all business when it comes to performance. In fact, she is our best seller! If the Nurse needs a match, it can be a nice beefy burger, or almost anything else on a pub style menu. And with her moderate alcohol content, she can stand alone and make your next Session last a long, long time! This fine ale is brewed for a spicy, slightly bittersweet finish using traditional English malt, hops, yeast and manners. Available short or tall, of course!\t";5.0;20.0;35.0;11;38;10.0;65;55;7;0;4;75.0;9;89.0
Ruddles County;Bitter - English;Greene King / Morland Brewery;Greene King / Morland Brewery Ruddles County;Notes:;4.7;20.0;35.0;15;60;9.0;65;49;20;0;24;93.0;14;97.0
Foster's Special Bitter;Bitter - English;Foster's Group Limited;Foster's Group Limited Foster's Special Bitter;Notes:;5.0;20.0;35.0;20;39;8.0;37;31;30;1;19;43.0;2;56.0
Uncle Teddy's Bitter;Bitter - English;Victory Brewing Company;Victory Brewing Company Uncle Teddy's Bitter;Notes:;4.0;20.0;35.0;12;83;5.0;58;44;24;1;25;;32;88.0
Doom Bar;Bitter - English;Sharp's Brewery;Sharp's Brewery Doom Bar Bitter;Notes:Doom Bar is inspired by its namesake, the treacherous sandbank at the mouth of the Camel Estuary near Sharps' home at Rock. Accomplished and precise, Doom Bar is the epitomy of consistency, balance and moreish appeal and is now the UK's no.1 selling cask beer.An enticing aroma of resinous hop, sweet malt and delicate roasted notes. The mouth feel is a balanced, complex blend of succulent dried fruit, lightly roasted malt and a subtle yet assertive bitterness. The finish is dry and refreshing.ABV: 4.0% (cask), 4.3% (bottle)\t;4.3;20.0;35.0;8;50;2.0;45;36;10;1;8;49.0;23;
